Bad Permutation	Even Permutation	ULL	URR	ULR	URL	List of cycle	Original Potential	ListOfPotentialAfteroneSwap	Potentialafter two swap
[2, 1, 5, 0, 3, 6, 4]	False	[]	[4, 6]	[5]	[3]	[[0, 3, 4, 6, 5, 2]]	7	[9, 8, 8]	[12, 9, 7, 10, 6, 10, 10, 6, 10]
[2, 1, 5, 0, 4, 3, 6]	False	[]	[]	[5]	[3]	[[0, 3, 5, 2]]	3	[4, 5, 4]	[6, 6, 6, 7, 4, 3, 6, 6, 6]
[2, 1, 5, 0, 6, 4, 3]	False	[]	[4, 6]	[5]	[3]	[[0, 3, 6, 4, 5, 2]]	7	[8, 8, 9]	[10, 6, 10, 10, 6, 10, 12, 9, 7]
[2, 1, 5, 3, 0, 4, 6]	False	[]	[4]	[5]	[]	[[0, 4, 5, 2]]	4	[5, 5, 5]	[7, 5, 7, 6, 3, 6, 7, 7, 7]
[2, 1, 5, 3, 4, 6, 0]	False	[]	[6]	[5]	[]	[[0, 6, 5, 2]]	4	[5, 5, 5]	[7, 7, 7, 6, 3, 6, 7, 5, 7]
[2, 1, 5, 4, 0, 6, 3]	False	[]	[6]	[4, 5]	[3]	[[0, 4, 3, 6, 5, 2]]	7	[8, 8, 9]	[10, 6, 6, 9, 6, 10, 11, 8, 7]
[2, 1, 5, 4, 6, 3, 0]	False	[]	[6]	[4, 5]	[3]	[[0, 6, 4, 3, 5, 2]]	7	[8, 9, 8]	[9, 6, 6, 11, 8, 7, 10, 6, 6]
[2, 1, 5, 6, 0, 3, 4]	False	[]	[4]	[5, 6]	[3]	[[0, 4, 6, 3, 5, 2]]	7	[8, 9, 8]	[10, 6, 6, 11, 8, 7, 9, 6, 6]
[2, 1, 5, 6, 3, 4, 0]	False	[]	[4]	[5, 6]	[3]	[[0, 6, 3, 4, 5, 2]]	7	[9, 8, 8]	[11, 8, 7, 9, 6, 10, 10, 6, 6]
[2, 1, 6, 0, 3, 4, 5]	False	[]	[4, 5]	[6]	[3]	[[0, 3, 4, 5, 6, 2]]	7	[9, 8, 8]	[12, 9, 7, 10, 6, 10, 10, 6, 10]
[2, 1, 6, 0, 4, 5, 3]	False	[]	[]	[6]	[3]	[[0, 3, 6, 2]]	3	[4, 4, 5]	[6, 6, 6, 6, 6, 6, 7, 4, 3]
[2, 1, 6, 0, 5, 3, 4]	False	[]	[4, 5]	[6]	[3]	[[0, 3, 5, 4, 6, 2]]	7	[8, 9, 8]	[10, 6, 10, 12, 9, 7, 10, 6, 10]
[2, 1, 6, 3, 0, 5, 4]	False	[]	[4]	[6]	[]	[[0, 4, 6, 2]]	4	[5, 5, 5]	[7, 5, 7, 7, 7, 7, 6, 3, 6]
[2, 1, 6, 3, 4, 0, 5]	False	[]	[5]	[6]	[]	[[0, 5, 6, 2]]	4	[5, 5, 5]	[7, 7, 7, 7, 5, 7, 6, 3, 6]
[2, 1, 6, 4, 0, 3, 5]	False	[]	[5]	[4, 6]	[3]	[[0, 4, 3, 5, 6, 2]]	7	[8, 9, 8]	[10, 6, 6, 11, 8, 7, 9, 6, 10]
[2, 1, 6, 4, 5, 0, 3]	False	[]	[5]	[4, 6]	[3]	[[0, 5, 4, 3, 6, 2]]	7	[8, 8, 9]	[9, 6, 6, 10, 6, 6, 11, 8, 7]
[2, 1, 6, 5, 0, 4, 3]	False	[]	[4]	[5, 6]	[3]	[[0, 4, 5, 3, 6, 2]]	7	[8, 8, 9]	[10, 6, 6, 9, 6, 6, 11, 8, 7]
[2, 1, 6, 5, 3, 0, 4]	False	[]	[4]	[5, 6]	[3]	[[0, 5, 3, 4, 6, 2]]	7	[9, 8, 8]	[11, 8, 7, 10, 6, 6, 9, 6, 10]
[2, 3, 1, 0, 4, 5, 6]	False	[1, 3]	[]	[]	[]	[[0, 3, 1, 2]]	6	[6, 6, 6]	[7, 7, 7, 7, 7, 7, 7, 7, 7]
[2, 3, 4, 0, 5, 1, 6]	False	[3]	[5]	[4]	[1]	[[0, 3, 1, 5, 4, 2]]	8	[9, 10, 9]	[10, 7, 10, 7, 9, 12, 10, 11, 10]
[2, 3, 4, 0, 6, 5, 1]	False	[3]	[6]	[4]	[1]	[[0, 3, 1, 6, 4, 2]]	8	[9, 9, 10]	[10, 7, 10, 10, 11, 10, 7, 9, 12]
[2, 3, 4, 5, 1, 0, 6]	False	[3]	[]	[4, 5]	[1]	[[0, 5, 3, 1, 4, 2]]	6	[8, 8, 8]	[6, 7, 11, 6, 7, 7, 9, 10, 10]
[2, 3, 4, 6, 1, 5, 0]	False	[3]	[]	[4, 6]	[1]	[[0, 6, 3, 1, 4, 2]]	6	[8, 8, 8]	[6, 7, 11, 9, 10, 10, 6, 7, 7]
[2, 3, 5, 0, 1, 4, 6]	False	[3]	[4]	[5]	[1]	[[0, 3, 1, 4, 5, 2]]	8	[10, 9, 9]	[7, 9, 12, 10, 7, 10, 10, 11, 10]
[2, 3, 5, 0, 4, 6, 1]	False	[3]	[6]	[5]	[1]	[[0, 3, 1, 6, 5, 2]]	8	[9, 9, 10]	[10, 11, 10, 10, 7, 10, 7, 9, 12]
[2, 3, 5, 4, 0, 1, 6]	False	[3]	[]	[4, 5]	[1]	[[0, 4, 3, 1, 5, 2]]	6	[8, 8, 8]	[6, 7, 7, 6, 7, 11, 9, 10, 10]
[2, 3, 5, 6, 4, 1, 0]	False	[3]	[]	[5, 6]	[1]	[[0, 6, 3, 1, 5, 2]]	6	[8, 8, 8]	[9, 10, 10, 6, 7, 11, 6, 7, 7]
[2, 3, 6, 0, 1, 5, 4]	False	[3]	[4]	[6]	[1]	[[0, 3, 1, 4, 6, 2]]	8	[10, 9, 9]	[7, 9, 12, 10, 11, 10, 10, 7, 10]
[2, 3, 6, 0, 4, 1, 5]	False	[3]	[5]	[6]	[1]	[[0, 3, 1, 5, 6, 2]]	8	[9, 10, 9]	[10, 11, 10, 7, 9, 12, 10, 7, 10]
[2, 3, 6, 4, 0, 5, 1]	False	[3]	[]	[4, 6]	[1]	[[0, 4, 3, 1, 6, 2]]	6	[8, 8, 8]	[6, 7, 7, 9, 10, 10, 6, 7, 11]
[2, 3, 6, 5, 4, 0, 1]	False	[3]	[]	[5, 6]	[1]	[[0, 5, 3, 1, 6, 2]]	6	[8, 8, 8]	[9, 10, 10, 6, 7, 7, 6, 7, 11]
[2, 4, 1, 5, 3, 0, 6]	False	[1]	[]	[4, 5]	[3]	[[0, 5, 3, 4, 1, 2]]	6	[8, 8, 8]	[7, 6, 7, 7, 6, 7, 10, 9, 10]
[2, 4, 1, 6, 3, 5, 0]	False	[1]	[]	[4, 6]	[3]	[[0, 6, 3, 4, 1, 2]]	6	[8, 8, 8]	[7, 6, 7, 10, 9, 10, 7, 6, 7]
[2, 4, 3, 5, 0, 1, 6]	False	[3]	[]	[4, 5]	[1]	[[0, 4, 1, 5, 3, 2]]	6	[8, 8, 8]	[7, 6, 7, 7, 6, 7, 10, 9, 10]
[2, 4, 3, 6, 0, 5, 1]	False	[3]	[]	[4, 6]	[1]	[[0, 4, 1, 6, 3, 2]]	6	[8, 8, 8]	[7, 6, 7, 10, 9, 10, 7, 6, 7]
[2, 4, 5, 0, 3, 1, 6]	False	[]	[]	[4, 5]	[1, 3]	[[0, 3, 4, 1, 5, 2]]	6	[8, 8, 7]	[7, 7, 6, 6, 7, 10, 9, 9, 8]
[2, 4, 5, 1, 0, 3, 6]	False	[1]	[]	[4, 5]	[3]	[[0, 4, 1, 3, 5, 2]]	6	[8, 8, 8]	[7, 7, 6, 11, 7, 6, 10, 10, 9]
[2, 4, 5, 3, 0, 6, 1]	False	[]	[6]	[4, 5]	[1]	[[0, 4, 1, 6, 5, 2]]	7	[8, 8, 9]	[6, 6, 10, 10, 6, 9, 7, 8, 11]
[2, 4, 5, 3, 6, 1, 0]	False	[]	[6]	[4, 5]	[1]	[[0, 6, 4, 1, 5, 2]]	7	[8, 9, 8]	[6, 6, 9, 7, 8, 11, 6, 6, 10]
[2, 4, 6, 0, 3, 5, 1]	False	[]	[]	[4, 6]	[1, 3]	[[0, 3, 4, 1, 6, 2]]	6	[8, 7, 8]	[7, 7, 6, 9, 9, 8, 6, 7, 10]
[2, 4, 6, 1, 0, 5, 3]	False	[1]	[]	[4, 6]	[3]	[[0, 4, 1, 3, 6, 2]]	6	[8, 8, 8]	[7, 7, 6, 10, 10, 9, 11, 7, 6]
[2, 4, 6, 3, 0, 1, 5]	False	[]	[5]	[4, 6]	[1]	[[0, 4, 1, 5, 6, 2]]	7	[8, 9, 8]	[6, 6, 10, 7, 8, 11, 10, 6, 9]
[2, 4, 6, 3, 5, 0, 1]	False	[]	[5]	[4, 6]	[1]	[[0, 5, 4, 1, 6, 2]]	7	[8, 8, 9]	[6, 6, 9, 6, 6, 10, 7, 8, 11]
[2, 5, 1, 4, 0, 3, 6]	False	[1]	[]	[4, 5]	[3]	[[0, 4, 3, 5, 1, 2]]	6	[8, 8, 8]	[7, 6, 7, 7, 6, 7, 10, 9, 10]
[2, 5, 1, 6, 4, 3, 0]	False	[1]	[]	[5, 6]	[3]	[[0, 6, 3, 5, 1, 2]]	6	[8, 8, 8]	[10, 9, 10, 7, 6, 7, 7, 6, 7]
[2, 5, 3, 4, 1, 0, 6]	False	[3]	[]	[4, 5]	[1]	[[0, 5, 1, 4, 3, 2]]	6	[8, 8, 8]	[7, 6, 7, 7, 6, 7, 10, 9, 10]
[2, 5, 3, 6, 4, 0, 1]	False	[3]	[]	[5, 6]	[1]	[[0, 5, 1, 6, 3, 2]]	6	[8, 8, 8]	[10, 9, 10, 7, 6, 7, 7, 6, 7]
[2, 5, 4, 0, 1, 3, 6]	False	[]	[]	[4, 5]	[1, 3]	[[0, 3, 5, 1, 4, 2]]	6	[8, 8, 7]	[6, 7, 10, 7, 7, 6, 9, 9, 8]
[2, 5, 4, 1, 3, 0, 6]	False	[1]	[]	[4, 5]	[3]	[[0, 5, 1, 3, 4, 2]]	6	[8, 8, 8]	[11, 7, 6, 7, 7, 6, 10, 10, 9]
[2, 5, 4, 3, 1, 6, 0]	False	[]	[6]	[4, 5]	[1]	[[0, 6, 5, 1, 4, 2]]	7	[9, 8, 8]	[7, 8, 11, 6, 6, 9, 6, 6, 10]
[2, 5, 4, 3, 6, 0, 1]	False	[]	[6]	[4, 5]	[1]	[[0, 5, 1, 6, 4, 2]]	7	[8, 8, 9]	[10, 6, 9, 6, 6, 10, 7, 8, 11]
[2, 5, 6, 0, 4, 3, 1]	False	[]	[]	[5, 6]	[1, 3]	[[0, 3, 5, 1, 6, 2]]	6	[7, 8, 8]	[9, 9, 8, 7, 7, 6, 6, 7, 10]
[2, 5, 6, 1, 4, 0, 3]	False	[1]	[]	[5, 6]	[3]	[[0, 5, 1, 3, 6, 2]]	6	[8, 8, 8]	[10, 10, 9, 7, 7, 6, 11, 7, 6]
[2, 5, 6, 3, 0, 4, 1]	False	[]	[4]	[5, 6]	[1]	[[0, 4, 5, 1, 6, 2]]	7	[8, 8, 9]	[6, 6, 10, 6, 6, 9, 7, 8, 11]
[2, 5, 6, 3, 1, 0, 4]	False	[]	[4]	[5, 6]	[1]	[[0, 5, 1, 4, 6, 2]]	7	[9, 8, 8]	[7, 8, 11, 6, 6, 10, 10, 6, 9]
[2, 6, 1, 4, 0, 5, 3]	False	[1]	[]	[4, 6]	[3]	[[0, 4, 3, 6, 1, 2]]	6	[8, 8, 8]	[7, 6, 7, 10, 9, 10, 7, 6, 7]
[2, 6, 1, 5, 4, 0, 3]	False	[1]	[]	[5, 6]	[3]	[[0, 5, 3, 6, 1, 2]]	6	[8, 8, 8]	[10, 9, 10, 7, 6, 7, 7, 6, 7]
[2, 6, 3, 4, 1, 5, 0]	False	[3]	[]	[4, 6]	[1]	[[0, 6, 1, 4, 3, 2]]	6	[8, 8, 8]	[7, 6, 7, 10, 9, 10, 7, 6, 7]
[2, 6, 3, 5, 4, 1, 0]	False	[3]	[]	[5, 6]	[1]	[[0, 6, 1, 5, 3, 2]]	6	[8, 8, 8]	[10, 9, 10, 7, 6, 7, 7, 6, 7]
[2, 6, 4, 0, 1, 5, 3]	False	[]	[]	[4, 6]	[1, 3]	[[0, 3, 6, 1, 4, 2]]	6	[8, 7, 8]	[6, 7, 10, 9, 9, 8, 7, 7, 6]
[2, 6, 4, 1, 3, 5, 0]	False	[1]	[]	[4, 6]	[3]	[[0, 6, 1, 3, 4, 2]]	6	[8, 8, 8]	[11, 7, 6, 10, 10, 9, 7, 7, 6]
[2, 6, 4, 3, 1, 0, 5]	False	[]	[5]	[4, 6]	[1]	[[0, 5, 6, 1, 4, 2]]	7	[9, 8, 8]	[7, 8, 11, 6, 6, 10, 6, 6, 9]
[2, 6, 4, 3, 5, 1, 0]	False	[]	[5]	[4, 6]	[1]	[[0, 6, 1, 5, 4, 2]]	7	[8, 9, 8]	[10, 6, 9, 7, 8, 11, 6, 6, 10]
[2, 6, 5, 0, 4, 1, 3]	False	[]	[]	[5, 6]	[1, 3]	[[0, 3, 6, 1, 5, 2]]	6	[7, 8, 8]	[9, 9, 8, 6, 7, 10, 7, 7, 6]
[2, 6, 5, 1, 4, 3, 0]	False	[1]	[]	[5, 6]	[3]	[[0, 6, 1, 3, 5, 2]]	6	[8, 8, 8]	[10, 10, 9, 11, 7, 6, 7, 7, 6]
[2, 6, 5, 3, 0, 1, 4]	False	[]	[4]	[5, 6]	[1]	[[0, 4, 6, 1, 5, 2]]	7	[8, 9, 8]	[6, 6, 10, 7, 8, 11, 6, 6, 9]
[2, 6, 5, 3, 1, 4, 0]	False	[]	[4]	[5, 6]	[1]	[[0, 6, 1, 4, 5, 2]]	7	[9, 8, 8]	[7, 8, 11, 10, 6, 9, 6, 6, 10]
[3, 0, 1, 2, 4, 5, 6]	False	[1, 2]	[]	[]	[]	[[0, 1, 2, 3]]	6	[6, 6, 6]	[7, 7, 7, 7, 7, 7, 7, 7, 7]
[3, 0, 1, 4, 5, 2, 6]	False	[1]	[5]	[4]	[2]	[[0, 1, 2, 5, 4, 3]]	8	[9, 10, 9]	[10, 10, 7, 12, 7, 9, 10, 10, 11]
[3, 0, 1, 4, 6, 5, 2]	False	[1]	[6]	[4]	[2]	[[0, 1, 2, 6, 4, 3]]	8	[9, 9, 10]	[10, 10, 7, 10, 10, 11, 12, 7, 9]
[3, 0, 1, 5, 2, 4, 6]	False	[1]	[4]	[5]	[2]	[[0, 1, 2, 4, 5, 3]]	8	[10, 9, 9]	[12, 7, 9, 10, 10, 7, 10, 10, 11]
[3, 0, 1, 5, 4, 6, 2]	False	[1]	[6]	[5]	[2]	[[0, 1, 2, 6, 5, 3]]	8	[9, 9, 10]	[10, 10, 11, 10, 10, 7, 12, 7, 9]
[3, 0, 1, 6, 2, 5, 4]	False	[1]	[4]	[6]	[2]	[[0, 1, 2, 4, 6, 3]]	8	[10, 9, 9]	[12, 7, 9, 10, 10, 11, 10, 10, 7]
[3, 0, 1, 6, 4, 2, 5]	False	[1]	[5]	[6]	[2]	[[0, 1, 2, 5, 6, 3]]	8	[9, 10, 9]	[10, 10, 11, 12, 7, 9, 10, 10, 7]
[3, 0, 2, 4, 1, 5, 6]	False	[]	[]	[4]	[1]	[[0, 1, 4, 3]]	3	[5, 4, 4]	[3, 7, 4, 6, 6, 6, 6, 6, 6]
[3, 0, 2, 4, 5, 6, 1]	False	[]	[5, 6]	[4]	[1]	[[0, 1, 6, 5, 4, 3]]	7	[8, 8, 9]	[10, 10, 6, 10, 10, 6, 7, 12, 9]
[3, 0, 2, 4, 6, 1, 5]	False	[]	[5, 6]	[4]	[1]	[[0, 1, 5, 6, 4, 3]]	7	[8, 9, 8]	[10, 10, 6, 7, 12, 9, 10, 10, 6]
[3, 0, 2, 5, 1, 6, 4]	False	[]	[4, 6]	[5]	[1]	[[0, 1, 4, 6, 5, 3]]	7	[9, 8, 8]	[7, 12, 9, 10, 10, 6, 10, 10, 6]
[3, 0, 2, 5, 4, 1, 6]	False	[]	[]	[5]	[1]	[[0, 1, 5, 3]]	3	[4, 5, 4]	[6, 6, 6, 3, 7, 4, 6, 6, 6]
[3, 0, 2, 5, 6, 4, 1]	False	[]	[4, 6]	[5]	[1]	[[0, 1, 6, 4, 5, 3]]	7	[8, 8, 9]	[10, 10, 6, 10, 10, 6, 7, 12, 9]
[3, 0, 2, 6, 1, 4, 5]	False	[]	[4, 5]	[6]	[1]	[[0, 1, 4, 5, 6, 3]]	7	[9, 8, 8]	[7, 12, 9, 10, 10, 6, 10, 10, 6]
[3, 0, 2, 6, 4, 5, 1]	False	[]	[]	[6]	[1]	[[0, 1, 6, 3]]	3	[4, 4, 5]	[6, 6, 6, 6, 6, 6, 3, 7, 4]
[3, 0, 2, 6, 5, 1, 4]	False	[]	[4, 5]	[6]	[1]	[[0, 1, 5, 4, 6, 3]]	7	[8, 9, 8]	[10, 10, 6, 7, 12, 9, 10, 10, 6]
[3, 0, 4, 5, 1, 2, 6]	False	[]	[]	[4, 5]	[1, 2]	[[0, 1, 4, 2, 5, 3]]	6	[8, 8, 7]	[6, 7, 7, 10, 6, 7, 8, 9, 9]
[3, 0, 4, 6, 1, 5, 2]	False	[]	[]	[4, 6]	[1, 2]	[[0, 1, 4, 2, 6, 3]]	6	[8, 7, 8]	[6, 7, 7, 8, 9, 9, 10, 6, 7]
[3, 0, 5, 4, 2, 1, 6]	False	[]	[]	[4, 5]	[1, 2]	[[0, 1, 5, 2, 4, 3]]	6	[8, 8, 7]	[10, 6, 7, 6, 7, 7, 8, 9, 9]
[3, 0, 5, 6, 4, 1, 2]	False	[]	[]	[5, 6]	[1, 2]	[[0, 1, 5, 2, 6, 3]]	6	[7, 8, 8]	[8, 9, 9, 6, 7, 7, 10, 6, 7]
[3, 0, 6, 4, 2, 5, 1]	False	[]	[]	[4, 6]	[1, 2]	[[0, 1, 6, 2, 4, 3]]	6	[8, 7, 8]	[10, 6, 7, 8, 9, 9, 6, 7, 7]
[3, 0, 6, 5, 4, 2, 1]	False	[]	[]	[5, 6]	[1, 2]	[[0, 1, 6, 2, 5, 3]]	6	[7, 8, 8]	[8, 9, 9, 10, 6, 7, 6, 7, 7]
[3, 1, 0, 4, 2, 5, 6]	False	[]	[]	[4]	[2]	[[0, 2, 4, 3]]	3	[5, 4, 4]	[7, 3, 4, 6, 6, 6, 6, 6, 6]
[3, 1, 0, 4, 5, 6, 2]	False	[]	[5, 6]	[4]	[2]	[[0, 2, 6, 5, 4, 3]]	7	[8, 8, 9]	[10, 10, 6, 10, 10, 6, 12, 7, 9]
[3, 1, 0, 4, 6, 2, 5]	False	[]	[5, 6]	[4]	[2]	[[0, 2, 5, 6, 4, 3]]	7	[8, 9, 8]	[10, 10, 6, 12, 7, 9, 10, 10, 6]
[3, 1, 0, 5, 2, 6, 4]	False	[]	[4, 6]	[5]	[2]	[[0, 2, 4, 6, 5, 3]]	7	[9, 8, 8]	[12, 7, 9, 10, 10, 6, 10, 10, 6]
[3, 1, 0, 5, 4, 2, 6]	False	[]	[]	[5]	[2]	[[0, 2, 5, 3]]	3	[4, 5, 4]	[6, 6, 6, 7, 3, 4, 6, 6, 6]
[3, 1, 0, 5, 6, 4, 2]	False	[]	[4, 6]	[5]	[2]	[[0, 2, 6, 4, 5, 3]]	7	[8, 8, 9]	[10, 10, 6, 10, 10, 6, 12, 7, 9]
[3, 1, 0, 6, 2, 4, 5]	False	[]	[4, 5]	[6]	[2]	[[0, 2, 4, 5, 6, 3]]	7	[9, 8, 8]	[12, 7, 9, 10, 10, 6, 10, 10, 6]
[3, 1, 0, 6, 4, 5, 2]	False	[]	[]	[6]	[2]	[[0, 2, 6, 3]]	3	[4, 4, 5]	[6, 6, 6, 6, 6, 6, 7, 3, 4]
[3, 1, 0, 6, 5, 2, 4]	False	[]	[4, 5]	[6]	[2]	[[0, 2, 5, 4, 6, 3]]	7	[8, 9, 8]	[10, 10, 6, 12, 7, 9, 10, 10, 6]
[3, 1, 2, 0, 4, 5, 6]	False	[]	[]	[]	[]	[[0, 3]]	2	[3, 3, 3]	[3, 3, 3, 3, 3, 3, 3, 3, 3]
[3, 1, 2, 4, 5, 0, 6]	False	[]	[5]	[4]	[]	[[0, 5, 4, 3]]	4	[5, 5, 5]	[6, 6, 3, 7, 7, 5, 7, 7, 7]
[3, 1, 2, 4, 6, 5, 0]	False	[]	[6]	[4]	[]	[[0, 6, 4, 3]]	4	[5, 5, 5]	[6, 6, 3, 7, 7, 7, 7, 7, 5]
[3, 1, 2, 5, 0, 4, 6]	False	[]	[4]	[5]	[]	[[0, 4, 5, 3]]	4	[5, 5, 5]	[7, 7, 5, 6, 6, 3, 7, 7, 7]
[3, 1, 2, 5, 4, 6, 0]	False	[]	[6]	[5]	[]	[[0, 6, 5, 3]]	4	[5, 5, 5]	[7, 7, 7, 6, 6, 3, 7, 7, 5]
[3, 1, 2, 6, 0, 5, 4]	False	[]	[4]	[6]	[]	[[0, 4, 6, 3]]	4	[5, 5, 5]	[7, 7, 5, 7, 7, 7, 6, 6, 3]
[3, 1, 2, 6, 4, 0, 5]	False	[]	[5]	[6]	[]	[[0, 5, 6, 3]]	4	[5, 5, 5]	[7, 7, 7, 7, 7, 5, 6, 6, 3]
[3, 1, 4, 5, 0, 6, 2]	False	[]	[6]	[4, 5]	[2]	[[0, 4, 2, 6, 5, 3]]	7	[8, 8, 9]	[10, 6, 6, 9, 10, 6, 11, 7, 8]
[3, 1, 4, 5, 6, 2, 0]	False	[]	[6]	[4, 5]	[2]	[[0, 6, 4, 2, 5, 3]]	7	[8, 9, 8]	[9, 6, 6, 11, 7, 8, 10, 6, 6]
[3, 1, 4, 6, 0, 2, 5]	False	[]	[5]	[4, 6]	[2]	[[0, 4, 2, 5, 6, 3]]	7	[8, 9, 8]	[10, 6, 6, 11, 7, 8, 9, 10, 6]
[3, 1, 4, 6, 5, 0, 2]	False	[]	[5]	[4, 6]	[2]	[[0, 5, 4, 2, 6, 3]]	7	[8, 8, 9]	[9, 6, 6, 10, 6, 6, 11, 7, 8]
[3, 1, 5, 4, 2, 6, 0]	False	[]	[6]	[4, 5]	[2]	[[0, 6, 5, 2, 4, 3]]	7	[9, 8, 8]	[11, 7, 8, 9, 6, 6, 10, 6, 6]
[3, 1, 5, 4, 6, 0, 2]	False	[]	[6]	[4, 5]	[2]	[[0, 5, 2, 6, 4, 3]]	7	[8, 8, 9]	[9, 10, 6, 10, 6, 6, 11, 7, 8]
[3, 1, 5, 6, 0, 4, 2]	False	[]	[4]	[5, 6]	[2]	[[0, 4, 5, 2, 6, 3]]	7	[8, 8, 9]	[10, 6, 6, 9, 6, 6, 11, 7, 8]
[3, 1, 5, 6, 2, 0, 4]	False	[]	[4]	[5, 6]	[2]	[[0, 5, 2, 4, 6, 3]]	7	[9, 8, 8]	[11, 7, 8, 10, 6, 6, 9, 10, 6]
[3, 1, 6, 4, 2, 0, 5]	False	[]	[5]	[4, 6]	[2]	[[0, 5, 6, 2, 4, 3]]	7	[9, 8, 8]	[11, 7, 8, 10, 6, 6, 9, 6, 6]
[3, 1, 6, 4, 5, 2, 0]	False	[]	[5]	[4, 6]	[2]	[[0, 6, 2, 5, 4, 3]]	7	[8, 9, 8]	[9, 10, 6, 11, 7, 8, 10, 6, 6]
[3, 1, 6, 5, 0, 2, 4]	False	[]	[4]	[5, 6]	[2]	[[0, 4, 6, 2, 5, 3]]	7	[8, 9, 8]	[10, 6, 6, 11, 7, 8, 9, 6, 6]
[3, 1, 6, 5, 2, 4, 0]	False	[]	[4]	[5, 6]	[2]	[[0, 6, 2, 4, 5, 3]]	7	[9, 8, 8]	[11, 7, 8, 9, 10, 6, 10, 6, 6]
[3, 2, 0, 1, 4, 5, 6]	False	[1, 2]	[]	[]	[]	[[0, 2, 1, 3]]	6	[6, 6, 6]	[7, 7, 7, 7, 7, 7, 7, 7, 7]
[3, 2, 0, 4, 5, 1, 6]	False	[2]	[5]	[4]	[1]	[[0, 2, 1, 5, 4, 3]]	8	[9, 10, 9]	[10, 10, 7, 7, 12, 9, 10, 10, 11]
[3, 2, 0, 4, 6, 5, 1]	False	[2]	[6]	[4]	[1]	[[0, 2, 1, 6, 4, 3]]	8	[9, 9, 10]	[10, 10, 7, 10, 10, 11, 7, 12, 9]
[3, 2, 0, 5, 1, 4, 6]	False	[2]	[4]	[5]	[1]	[[0, 2, 1, 4, 5, 3]]	8	[10, 9, 9]	[7, 12, 9, 10, 10, 7, 10, 10, 11]
[3, 2, 0, 5, 4, 6, 1]	False	[2]	[6]	[5]	[1]	[[0, 2, 1, 6, 5, 3]]	8	[9, 9, 10]	[10, 10, 11, 10, 10, 7, 7, 12, 9]
[3, 2, 0, 6, 1, 5, 4]	False	[2]	[4]	[6]	[1]	[[0, 2, 1, 4, 6, 3]]	8	[10, 9, 9]	[7, 12, 9, 10, 10, 11, 10, 10, 7]
[3, 2, 0, 6, 4, 1, 5]	False	[2]	[5]	[6]	[1]	[[0, 2, 1, 5, 6, 3]]	8	[9, 10, 9]	[10, 10, 11, 7, 12, 9, 10, 10, 7]
[3, 2, 4, 5, 0, 1, 6]	False	[2]	[]	[4, 5]	[1]	[[0, 4, 2, 1, 5, 3]]	6	[8, 8, 8]	[6, 7, 7, 6, 11, 7, 9, 10, 10]
[3, 2, 4, 6, 0, 5, 1]	False	[2]	[]	[4, 6]	[1]	[[0, 4, 2, 1, 6, 3]]	6	[8, 8, 8]	[6, 7, 7, 9, 10, 10, 6, 11, 7]
[3, 2, 5, 4, 1, 0, 6]	False	[2]	[]	[4, 5]	[1]	[[0, 5, 2, 1, 4, 3]]	6	[8, 8, 8]	[6, 11, 7, 6, 7, 7, 9, 10, 10]
[3, 2, 5, 6, 4, 0, 1]	False	[2]	[]	[5, 6]	[1]	[[0, 5, 2, 1, 6, 3]]	6	[8, 8, 8]	[9, 10, 10, 6, 7, 7, 6, 11, 7]
[3, 2, 6, 4, 1, 5, 0]	False	[2]	[]	[4, 6]	[1]	[[0, 6, 2, 1, 4, 3]]	6	[8, 8, 8]	[6, 11, 7, 9, 10, 10, 6, 7, 7]
[3, 2, 6, 5, 4, 1, 0]	False	[2]	[]	[5, 6]	[1]	[[0, 6, 2, 1, 5, 3]]	6	[8, 8, 8]	[9, 10, 10, 6, 11, 7, 6, 7, 7]
[3, 4, 0, 5, 2, 1, 6]	False	[]	[]	[4, 5]	[1, 2]	[[0, 2, 4, 1, 5, 3]]	6	[8, 8, 7]	[7, 6, 7, 6, 10, 7, 9, 8, 9]
[3, 4, 0, 6, 2, 5, 1]	False	[]	[]	[4, 6]	[1, 2]	[[0, 2, 4, 1, 6, 3]]	6	[8, 7, 8]	[7, 6, 7, 9, 8, 9, 6, 10, 7]
[3, 4, 1, 5, 0, 2, 6]	False	[1]	[]	[4, 5]	[2]	[[0, 4, 1, 2, 5, 3]]	6	[8, 8, 8]	[7, 6, 7, 11, 6, 7, 10, 9, 10]
[3, 4, 1, 6, 0, 5, 2]	False	[1]	[]	[4, 6]	[2]	[[0, 4, 1, 2, 6, 3]]	6	[8, 8, 8]	[7, 6, 7, 10, 9, 10, 11, 6, 7]
[3, 4, 2, 5, 0, 6, 1]	False	[]	[6]	[4, 5]	[1]	[[0, 4, 1, 6, 5, 3]]	7	[8, 8, 9]	[6, 10, 6, 10, 9, 6, 7, 11, 8]
[3, 4, 2, 5, 6, 1, 0]	False	[]	[6]	[4, 5]	[1]	[[0, 6, 4, 1, 5, 3]]	7	[8, 9, 8]	[6, 9, 6, 7, 11, 8, 6, 10, 6]
[3, 4, 2, 6, 0, 1, 5]	False	[]	[5]	[4, 6]	[1]	[[0, 4, 1, 5, 6, 3]]	7	[8, 9, 8]	[6, 10, 6, 7, 11, 8, 10, 9, 6]
